size,numpy_time,dask_time,speedup
500,0.6471560333156958,0.22504983330145478,2.8756121425285786
1000,2.2624849999944368,0.7347624666290358,3.079206005682803
2000,6.596260199982983,2.0588883999735117,3.2037968643991808
